"province_id.id","district_id.id","municipality_code","municipality_name"
7,75,"02","Shikhar Municipality"
7,75,"03","Purbichauki Rural Municipality"
7,75,"04","Badikedar Rural Municipality"
7,75,"05","Jorayal Rural Municipality"
7,75,"06","Sayal Rural Municipality"
7,75,"07","Aadarsha Rural Municipality"
7,75,"08","Dr. K. I. Singh Rural Municipality"
7,75,"09","Bogatan Rural Municipality"
7,76,"01","Dhangadhi Sub-Metropolitan City"
7,76,"02","Lamki Chuha Municipality"
7,76,"03","Tikapur Municipality"
7,76,"04","Ghodaghodi Municipality"
7,76,"05","Bhajani Municipality"
7,76,"06","Godawari Municipality"
7,76,"07","Gauriganga Municipality"
7,76,"08","Janaki Rural Municipality"
7,76,"09","Bardagoriya Rural Municipality"
7,76,"10","Mohanyal Rural Municipality"
7,76,"11","Kailari Rural Municipality"
7,76,"12","Joshipur Rural Municipality"
7,76,"13","Chure Rural Municipality"
7,77,"01","Bedkot Municipality"
7,77,"02","Belauri Municipality"
7,77,"03","Bhimdatta Municipality"
7,77,"04","Mahakali Municipality"
7,77,"05","Shuklaphanta Municipality"
7,77,"06","Krishnapur Municipality"
7,77,"07","Punarbas Municipality"
7,77,"08","Laljhadi Rural Municipality"
7,77,"09","Beldandi Rural Municipality"
