"province_code","province_name","province_abbreviation"
1,"Koshi Province","P"
2,"Madhesh Province","M"
3,"Bagmati Province","B"
4,"Gandaki Province","G"
5,"Lumbini Province","L"
6,"Karnali Province","K"
7,"Sudurpashchim Province","S"
